자치구,동,한식음식점업,용달 및 개별화물 자동차운송업,부동산자문 및 중개업,의류점,기타주점업,두발미용업,슈퍼마켓,분식 및 김밥전문점,비알콜 음료점,가정용 세탁업,노래연습장 운영업,체인화 편의점,치킨 전문점,자동차 전문 수리업,과실 및 채소소매업,육류 소매업,중국 음식점업,당구장 운영업,제과점업,컴퓨터게임방 운영업
성동구,사근동,116,37,30,21,60,25,20,37,66,10,19,28,13,-,3,4,11,16,9,12
성동구,성수1가1동,65,60,37,12,10,20,18,11,11,9,10,12,5,8,-,X,4,X,3,-
성동구,성수1가2동,119,88,47,9,22,22,21,16,43,10,13,19,11,11,3,9,6,6,9,5
성동구,성수2가1동,149,108,40,43,44,29,29,31,33,18,22,12,12,26,9,4,12,5,5,5
성동구,성수2가3동,206,282,65,20,29,14,39,20,55,9,25,35,7,41,X,3,14,12,8,X
성동구,소계,1485,1246,613,377,423,430,355,258,392,196,162,200,126,211,71,126,99,77,104,50
성동구,송정동,30,56,14,5,12,18,13,6,5,8,4,4,4,7,6,4,X,3,3,X
성동구,옥수동,44,29,43,13,9,25,11,10,16,15,3,10,6,3,-,6,3,X,11,X
성동구,왕십리2동,37,70,31,16,13,19,14,7,4,11,4,5,4,-,5,4,3,X,3,3
성동구,왕십리도선동,169,52,70,19,62,37,24,17,31,9,14,12,12,7,5,3,8,4,6,X
성동구,용답동,122,58,35,28,42,30,51,17,17,13,12,14,6,80,10,10,8,6,5,6
성동구,응봉동,7,60,13,7,6,13,11,6,7,9,X,X,4,3,-,X,X,-,X,X
성동구,행당1동,103,56,37,101,18,39,20,29,41,13,10,11,13,3,9,10,8,4,19,3
성동구,행당2동,17,40,25,18,6,20,5,9,12,10,3,6,5,X,3,5,X,-,5,-
성북구,길음1동,47,71,53,43,55,39,21,24,20,14,5,5,9,-,15,13,5,4,15,4
성북구,길음2동,52,52,37,192,19,27,17,22,18,12,3,12,3,6,4,6,5,-,15,3
성북구,돈암1동,10,50,18,4,4,13,10,4,3,10,-,X,X,X,-,7,X,-,X,X
성북구,돈암2동,8,34,21,6,X,12,7,9,3,7,-,X,5,-,X,5,X,-,4,-
성북구,동선동,146,29,66,81,103,74,22,53,70,15,31,26,21,5,5,6,11,12,23,5
성북구,보문동,71,56,35,16,28,30,22,12,8,12,5,9,X,13,8,7,7,X,4,3
성북구,삼선동,160,80,50,41,76,52,34,42,46,17,15,19,10,6,19,17,12,10,9,X
성북구,석관동,155,186,71,37,84,69,41,31,27,25,19,21,15,16,14,15,6,9,5,5
성북구,성북동,90,29,41,30,19,21,15,7,33,10,X,13,6,10,3,6,6,X,11,X
성북구,소계,1607,1572,743,690,761,730,451,399,456,288,183,247,167,160,136,178,130,99,155,76
성북구,안암동,132,46,34,18,78,37,29,31,83,11,16,35,9,6,X,X,17,9,12,13
성북구,월곡1동,68,106,34,22,22,39,26,17,14,18,8,11,11,12,10,10,7,X,8,X
성북구,월곡2동,112,99,37,35,37,47,24,28,35,15,20,14,10,17,7,14,6,7,13,6
성북구,장위1동,64,128,33,19,29,41,31,10,10,20,9,8,4,8,5,8,4,3,X,4
성북구,장위2동,105,90,36,49,66,43,28,16,11,12,11,8,9,14,16,21,8,6,4,3
성북구,장위3동,45,75,20,18,21,22,20,10,6,13,4,4,X,10,5,6,5,6,3,4
성북구,정릉1동,48,49,23,7,15,25,12,11,7,11,4,9,8,9,X,4,4,X,6,X
성북구,정릉2동,50,116,32,15,14,26,15,15,12,15,7,7,12,8,X,5,7,4,5,4
성북구,정릉3동,70,42,13,8,22,24,23,15,14,5,4,10,6,6,X,5,6,7,X,3
성북구,정릉4동,60,83,31,12,25,29,22,11,14,17,5,12,5,3,5,9,4,7,5,4
성북구,종암동,114,151,58,37,42,60,32,31,22,29,15,21,18,10,13,13,8,9,8,8
송파구,가락1동,53,8,6,-,-,-,26,4,X,-,-,X,-,3,4,X,-,-,-,-
송파구,가락2동,93,86,66,49,37,68,29,23,29,23,23,12,13,19,7,10,9,6,15,9
송파구,가락본동,247,85,90,50,90,51,18,30,63,21,98,32,17,19,11,3,8,16,16,7
송파구,거여1동,45,93,19,12,17,31,8,9,14,13,12,10,4,8,5,6,4,4,3,5
송파구,거여2동,61,102,42,12,32,41,14,14,16,12,15,13,8,8,6,9,X,4,7,4
송파구,마천1동,71,209,34,17,37,34,22,10,11,15,9,8,5,4,4,5,3,4,3,3
송파구,마천2동,101,111,27,57,26,38,24,14,13,10,11,8,9,13,14,16,10,6,9,3
송파구,문정1동,74,73,60,80,11,43,12,15,28,15,16,12,11,16,X,7,6,6,8,3
송파구,문정2동,74,14,119,203,13,25,16,23,37,14,4,14,6,5,X,4,10,X,13,3
송파구,방이1동,101,45,39,20,37,36,7,12,34,15,18,16,6,14,X,3,7,7,9,X
송파구,방이2동,247,79,101,31,111,39,18,27,46,24,51,32,20,15,7,11,14,15,10,8
송파구,삼전동,124,104,69,22,46,75,19,33,28,32,21,22,20,25,5,12,10,9,10,8
송파구,석촌동,198,115,94,49,93,70,26,31,40,26,54,29,22,18,16,13,11,14,8,5
송파구,소계,2497,2692,1464,1498,899,1026,454,509,746,416,482,393,270,273,155,188,170,143,255,108
송파구,송파1동,125,449,71,27,57,59,16,20,39,23,28,21,8,13,3,9,8,12,11,5
송파구,송파2동,29,39,44,29,11,32,16,29,26,12,-,9,8,4,3,7,4,-,11,5
송파구,오금동,111,159,58,28,44,51,32,21,45,28,16,17,15,41,X,16,10,7,8,5
송파구,오륜동,14,X,20,74,X,14,11,9,15,5,-,8,X,X,4,X,4,-,4,X
송파구,위례동,6,31,21,-,X,3,-,X,3,-,-,3,X,-,-,X,-,-,X,X
송파구,잠실2동,21,17,64,58,X,28,12,17,22,10,-,11,4,-,8,6,-,-,16,-
송파구,잠실3동,52,22,86,398,5,27,17,29,42,17,-,12,X,X,6,4,8,-,32,-
송파구,잠실4동,14,21,47,9,5,19,9,11,8,11,-,5,7,-,3,7,X,X,6,X
송파구,잠실6동,123,475,52,169,10,33,21,32,66,9,3,17,11,X,5,3,11,3,22,-
송파구,잠실7동,-,3,16,13,-,9,8,5,4,5,-,3,X,-,3,4,3,-,3,-
송파구,잠실본동,317,61,100,51,148,89,25,45,61,32,65,44,32,18,18,11,13,17,16,18
송파구,장지동,75,151,52,4,27,46,21,18,27,15,15,16,11,13,3,6,6,5,5,3
송파구,풍납1동,67,69,24,14,21,33,12,14,7,12,11,6,11,5,10,9,5,X,4,5
송파구,풍납2동,54,69,43,22,18,32,15,12,21,17,12,11,16,8,4,4,4,4,5,3
양천구,목1동,186,35,67,309,74,48,21,38,78,13,24,24,12,7,3,5,15,7,28,6
양천구,목2동,77,98,61,23,30,42,24,15,21,18,15,14,14,6,5,8,5,7,7,4
양천구,목3동,68,73,47,52,53,56,19,15,16,18,19,9,11,4,7,10,6,8,7,7
양천구,목4동,80,69,44,26,46,65,26,19,21,20,15,8,15,9,8,20,8,3,13,X
양천구,목5동,54,24,97,43,16,43,22,22,30,25,X,18,14,X,5,7,6,3,21,5
양천구,소계,1369,1829,839,813,672,797,391,301,358,277,241,202,193,180,148,190,98,88,165,76
양천구,신월1동,105,150,45,51,75,60,32,20,8,13,18,13,10,23,24,17,7,7,3,13
양천구,신월2동,41,155,38,16,24,25,18,9,9,16,6,6,7,10,7,11,X,5,4,3
양천구,신월3동,53,132,10,16,23,26,27,12,10,6,5,9,7,13,8,9,X,3,X,X
양천구,신월4동,73,144,25,10,38,44,11,10,15,10,12,11,13,11,6,9,6,3,4,X
양천구,신월5동,71,93,23,23,27,31,20,8,14,11,14,12,5,18,5,3,3,5,3,3
양천구,신월6동,42,73,23,17,19,20,11,6,X,5,8,5,3,4,13,12,X,5,3,X
양천구,신월7동,69,194,32,17,28,44,26,16,10,12,16,8,13,10,5,10,5,9,5,X
양천구,신정1동,91,21,58,27,44,35,7,14,23,13,18,7,11,16,5,8,5,3,13,X
양천구,신정2동,58,66,41,28,14,47,14,17,14,13,7,7,12,10,14,12,5,4,8,X
양천구,신정3동,70,239,57,38,42,63,47,26,18,26,13,10,15,8,11,22,6,4,11,5
양천구,신정4동,169,164,91,91,107,98,39,29,49,33,45,26,16,23,11,15,10,9,13,9
양천구,신정6동,18,17,46,11,X,15,12,11,9,13,-,8,5,-,6,5,-,-,8,X
양천구,신정7동,44,82,34,15,10,35,15,14,11,12,5,7,10,7,5,7,5,3,12,8
영등포구,당산1동,215,75,66,19,157,45,25,22,51,17,32,26,11,13,3,4,10,11,8,4
영등포구,당산2동,147,53,96,33,55,35,19,28,52,23,12,33,8,3,7,8,14,11,12,3
영등포구,대림1동,75,47,36,34,47,46,30,20,10,9,19,11,11,9,19,10,15,X,7,4
영등포구,대림2동,73,51,38,37,69,55,38,9,13,11,28,10,5,3,17,14,141,8,4,7
영등포구,대림3동,119,138,56,18,70,48,38,25,21,19,51,17,10,24,4,8,55,10,6,7
영등포구,도림동,50,81,34,12,35,37,26,8,8,20,13,6,7,19,3,3,13,3,3,4
영등포구,문래동,230,69,62,55,48,31,41,37,60,15,13,27,15,19,12,9,15,13,12,3
영등포구,소계,2643,2149,945,1071,1026,656,646,434,733,276,343,347,172,222,165,136,452,137,155,88
영등포구,신길1동,88,68,38,37,41,49,38,18,11,24,24,10,7,5,8,9,12,9,9,9
영등포구,신길3동,58,69,28,54,27,39,22,12,9,15,13,9,7,9,10,9,10,6,3,4
영등포구,신길4동,30,45,20,5,23,22,20,6,3,12,7,6,7,3,X,X,7,X,X,X
영등포구,신길5동,34,66,13,9,20,19,24,8,9,9,10,4,4,6,-,X,20,3,X,X
영등포구,신길6동,92,72,67,16,29,45,29,15,27,16,18,8,8,19,5,6,11,3,3,4
영등포구,신길7동,35,24,15,6,15,13,10,7,12,5,6,5,6,5,X,X,3,X,5,X
영등포구,양평1동,123,1067,46,15,32,20,22,17,32,14,6,16,6,22,6,5,10,4,5,3
영등포구,양평2동,126,67,52,10,43,21,31,23,40,16,12,25,5,23,X,9,10,7,7,3
영등포구,여의도동,631,23,144,95,157,48,90,96,246,17,11,67,29,8,10,7,53,20,36,5
영등포구,영등포동,436,50,93,408,129,55,107,62,103,20,48,51,17,28,44,20,33,21,24,19
영등포구,영등포본동,81,84,41,208,29,28,36,21,26,14,20,16,9,4,11,10,20,3,8,4
용산구,남영동,178,9,28,94,50,16,28,30,47,6,16,27,7,5,3,4,15,12,18,9
용산구,보광동,71,59,43,20,26,45,26,13,9,15,3,10,15,6,3,6,6,3,4,3
용산구,서빙고동,21,30,14,12,X,10,14,9,7,4,-,7,X,7,X,X,3,-,X,-
용산구,소계,1333,584,670,716,567,364,361,256,510,174,91,206,107,104,78,79,117,48,161,38
용산구,용문동,46,48,21,16,25,23,9,9,12,8,5,3,8,4,10,13,X,X,5,X
용산구,용산2가동,28,35,23,10,19,23,20,6,20,12,3,8,5,X,6,6,X,3,5,X
용산구,원효로1동,134,37,58,14,37,18,13,23,27,12,13,19,11,9,3,X,10,5,5,3
용산구,원효로2동,44,56,22,11,12,20,19,10,10,7,5,9,4,12,X,4,9,3,3,X
용산구,이촌1동,52,9,51,65,24,29,21,12,24,11,X,9,5,3,11,8,7,X,20,X
용산구,이촌2동,11,57,20,X,X,8,6,5,4,6,-,3,X,6,4,X,X,-,X,-
용산구,이태원1동,91,8,20,264,122,19,16,11,50,8,3,16,6,8,X,X,15,X,19,X
용산구,이태원2동,42,21,34,21,58,20,8,10,46,10,X,13,6,-,4,X,7,-,20,X
용산구,청파동,127,67,61,26,51,46,39,40,63,21,9,14,9,11,13,9,8,3,9,6
용산구,한강로동,264,26,132,86,49,25,58,38,88,19,17,34,5,15,5,4,17,9,22,X
용산구,한남동,146,43,93,57,69,32,46,13,69,15,10,13,11,8,3,7,11,4,21,6
용산구,효창동,19,31,12,4,5,6,12,5,14,6,-,6,3,3,X,X,X,X,3,-
용산구,후암동,59,48,38,15,18,24,26,22,20,14,3,15,9,5,6,9,4,X,4,X
은평구,갈현1동,142,86,41,38,95,49,26,12,25,17,39,13,17,5,5,11,10,10,9,6
은평구,갈현2동,112,86,40,62,65,68,31,32,36,11,19,21,16,5,8,14,5,11,10,7
은평구,구산동,34,160,40,23,14,52,19,25,17,18,3,14,8,10,X,6,5,X,8,-
은평구,녹번동,118,287,70,16,40,52,35,18,25,19,15,17,10,20,3,9,7,10,7,7
은평구,대조동,182,94,102,257,76,80,40,49,55,23,23,25,15,8,54,18,16,8,14,7
은평구,불광1동,116,108,87,57,50,68,30,26,28,25,20,19,18,X,12,13,5,6,12,4
은평구,불광2동,106,90,47,43,33,61,32,21,15,16,6,13,12,9,37,19,5,3,6,5
은평구,소계,1517,1914,901,795,748,895,442,367,370,294,237,246,206,140,193,193,99,101,135,75
은평구,수색동,46,75,15,19,36,29,26,11,7,10,5,X,6,5,10,8,3,X,4,3
은평구,신사1동,52,129,57,29,28,60,19,23,21,18,17,13,11,9,6,8,5,7,5,5
은평구,신사2동,25,108,29,12,9,34,17,12,7,17,X,8,9,7,3,9,X,-,4,-
은평구,역촌동,142,223,112,51,86,101,43,33,35,28,20,26,18,28,13,17,7,10,14,7
은평구,응암1동,106,89,65,58,43,57,30,28,26,18,14,21,12,4,7,12,8,7,8,6
은평구,응암2동,32,72,34,14,17,39,13,13,5,14,7,X,7,5,3,10,3,3,X,3
은평구,응암3동,155,109,55,78,105,63,29,24,19,22,37,16,20,15,19,16,9,11,10,8
은평구,증산동,68,101,40,20,37,37,24,18,11,16,10,16,9,7,4,9,4,10,6,4
은평구,진관동,81,97,67,18,14,45,28,22,38,22,X,21,18,X,7,14,5,X,16,3
종로구,가회동,75,10,14,22,14,9,10,15,52,3,3,7,3,X,X,3,6,X,8,-
종로구,교남동,28,13,15,8,4,5,6,X,6,3,3,6,4,X,-,-,X,X,X,X
종로구,무악동,12,329,10,4,3,10,5,7,5,7,X,4,4,X,X,X,X,-,X,X
종로구,부암동,27,13,14,14,12,9,9,11,33,7,X,9,X,8,-,-,5,X,3,X
종로구,사직동,334,17,56,45,91,22,34,43,141,11,12,28,12,5,5,X,22,10,20,3
종로구,삼청동,64,8,X,59,6,X,16,23,76,X,-,9,-,-,-,-,3,-,10,-
종로구,소계,"2,474",614,537,706,728,261,488,421,"1,066",124,127,252,119,43,73,66,175,89,149,49
종로구,숭인1동,25,22,15,6,6,13,13,6,X,4,-,8,X,X,X,X,X,X,X,X
종로구,숭인2동,101,28,33,25,25,13,32,17,22,9,15,17,10,-,5,4,7,5,5,5
종로구,이화동,115,19,17,19,28,8,17,27,81,4,5,15,7,4,-,X,12,X,11,X
종로구,종로1.2.3.4가동,909,11,126,262,315,35,172,101,368,19,41,76,32,9,23,9,58,31,37,8
종로구,종로5·6가동,284,20,75,86,41,18,61,58,71,6,11,22,9,4,8,8,11,11,6,X
종로구,창신1동,112,9,30,64,22,14,35,20,15,4,10,8,6,-,4,6,16,7,6,7
종로구,창신2동,60,26,15,14,20,23,21,9,6,7,6,4,3,-,7,5,4,X,3,X
종로구,창신3동,13,23,15,X,-,11,5,3,4,5,-,X,4,X,X,3,X,-,X,-
종로구,청운효자동,67,17,30,30,12,15,18,22,56,8,X,6,4,X,10,8,5,3,13,X
종로구,평창동,60,17,31,15,27,17,13,8,17,11,X,6,3,4,X,6,6,X,7,X
종로구,혜화동,188,32,39,31,102,38,21,49,111,15,14,25,15,X,X,6,14,11,13,12
중구,광희동,293,28,64,1310,62,22,89,39,86,6,14,28,4,5,23,6,12,11,11,X
중구,다산동,76,51,26,17,27,22,26,15,18,11,15,8,3,7,3,5,4,4,4,X
중구,동화동,46,38,26,16,11,23,9,6,8,6,3,7,4,X,X,7,3,6,4,3
중구,명동,426,-,112,293,72,67,73,91,256,5,9,67,16,-,3,X,41,18,35,X
중구,소계,2430,362,652,3491,551,325,643,420,900,111,142,306,104,39,102,80,175,115,162,33
중구,소공동,276,X,24,428,34,16,47,38,141,X,6,40,7,-,X,X,27,10,28,X
중구,신당5동,102,38,28,45,44,19,16,13,8,9,13,7,8,4,5,5,7,3,4,4
중구,신당동,132,21,116,232,45,24,80,30,39,11,22,19,17,6,4,4,15,7,9,X
중구,약수동,52,38,42,31,24,32,15,8,14,13,10,7,8,X,5,8,-,X,7,X
중구,을지로동,259,4,52,82,56,8,77,41,77,5,12,25,8,X,3,3,16,23,7,-
중구,장충동,63,10,17,21,17,7,10,9,15,4,X,13,4,X,X,X,5,3,8,3
중구,중림동,89,24,28,4,26,15,14,11,26,7,5,8,3,3,7,5,5,4,5,3
중구,청구동,34,51,25,14,14,18,13,6,11,8,X,7,3,X,5,3,X,X,X,X
중구,필동,169,12,31,13,63,12,21,28,73,5,13,32,5,X,X,X,11,8,10,6
중구,황학동,158,39,36,45,22,21,38,27,21,8,8,10,5,3,28,26,4,5,5,-
중구,회현동,255,7,25,940,34,19,115,58,107,11,8,28,9,X,10,4,23,10,24,X
중랑구,망우3동,59,115,21,12,31,35,23,11,5,11,6,5,3,13,3,6,5,X,3,-
중랑구,망우본동,207,204,57,77,80,66,58,34,31,25,34,19,10,23,24,30,13,9,13,8
중랑구,면목2동,122,186,47,29,45,53,36,18,19,22,19,13,6,11,8,13,7,8,5,4
중랑구,면목3.8동,162,134,47,58,86,58,37,44,23,18,41,16,13,11,12,14,7,16,5,11
중랑구,면목4동,54,120,34,11,26,31,24,9,8,16,9,9,7,7,X,3,3,X,X,X
중랑구,면목5동,43,85,12,17,16,21,19,9,4,9,6,4,7,14,X,3,X,3,X,3
중랑구,면목7동,94,116,43,48,43,46,30,14,12,15,17,13,7,12,22,16,4,5,5,4
중랑구,면목본동,166,191,78,57,89,80,49,31,19,31,30,22,15,7,19,20,7,7,11,7
중랑구,묵1동,101,140,52,27,36,49,24,30,25,19,17,14,4,7,6,7,5,5,8,3
중랑구,묵2동,102,406,38,21,45,43,27,17,14,14,21,8,11,15,6,4,7,7,4,X
중랑구,상봉1동,36,93,25,66,19,34,26,18,24,14,7,10,X,5,X,4,5,4,3,X
중랑구,상봉2동,230,62,53,66,106,34,31,21,28,17,57,21,15,19,6,4,9,13,4,15
중랑구,소계,1761,2398,639,620,783,720,493,336,276,278,324,186,140,177,151,159,94,98,92,73
중랑구,신내1동,112,169,37,21,36,43,28,23,20,21,15,9,15,12,3,5,5,5,5,5
중랑구,신내2동,44,112,26,50,16,28,10,14,13,14,X,5,8,X,4,6,3,X,11,X
중랑구,중화1동,43,99,32,11,12,40,26,12,13,12,4,7,3,4,X,3,3,-,3,-
중랑구,중화2동,186,166,37,49,97,59,45,31,18,20,39,11,14,15,31,21,9,11,8,7
