자치구,동,한식음식점업,용달 및 개별화물 자동차운송업,부동산자문 및 중개업,의류점,기타주점업,두발미용업,슈퍼마켓,분식 및 김밥전문점,비알콜 음료점,가정용 세탁업,노래연습장 운영업,체인화 편의점,치킨 전문점,자동차 전문 수리업,과실 및 채소소매업,육류 소매업,중국 음식점업,당구장 운영업,제과점업,컴퓨터게임방 운영업
강서구,등촌2동,32,60,21,7,17,23,11,14,15,9,4,9,12,4,X,4,3,X,5,X
강서구,등촌3동,118,124,58,150,31,46,30,27,48,17,17,18,15,17,3,12,12,5,15,6
강서구,발산1동,81,174,51,38,26,48,33,45,28,15,7,15,16,11,21,16,7,5,18,3
강서구,방화1동,143,190,104,65,61,86,28,26,35,26,27,26,26,21,23,26,11,9,12,5
강서구,방화2동,122,128,45,198,63,44,25,19,31,13,23,18,10,20,3,8,9,7,14,6
강서구,방화3동,32,109,23,15,13,25,13,8,10,14,3,12,6,3,X,-,X,X,7,X
강서구,소계,1851,2256,1000,894,921,860,418,380,452,332,343,326,227,249,139,189,136,117,168,85
강서구,염창동,108,113,75,23,35,48,22,20,35,25,15,16,11,20,5,9,8,7,14,6
강서구,우장산동,75,123,80,32,36,63,26,18,28,21,18,18,12,11,5,12,7,5,11,4
강서구,화곡1동,204,213,101,71,167,83,40,30,40,36,66,47,21,30,7,17,18,21,12,12
강서구,화곡2동,21,103,19,15,17,29,19,8,7,8,4,7,X,5,5,3,X,4,3,X
강서구,화곡3동,83,75,43,23,41,49,15,18,29,17,15,10,10,X,3,9,X,8,12,8
강서구,화곡4동,100,115,35,44,57,55,22,20,16,17,28,13,12,8,20,16,7,3,4,8
강서구,화곡6동,169,90,48,26,122,43,21,19,26,17,36,23,11,8,8,8,13,9,3,9
강서구,화곡8동,70,106,61,37,34,52,17,23,15,17,11,8,13,X,11,14,3,3,9,X
강서구,화곡본동,91,131,53,24,54,41,29,21,11,22,12,15,16,5,8,12,7,7,6,3
관악구,낙성대동,136,35,32,11,101,33,23,29,34,11,21,14,10,10,5,10,7,8,4,5
관악구,난곡동,26,111,23,12,21,44,32,17,7,15,9,12,8,8,8,7,3,4,7,6
관악구,난향동,11,56,15,3,6,15,11,8,4,8,X,X,5,-,X,5,X,X,3,X
관악구,남현동,80,39,22,23,50,25,7,11,15,12,12,19,11,7,6,7,6,X,7,4
관악구,대학동,176,53,35,7,64,46,29,48,66,23,26,29,23,-,3,6,16,12,8,31
관악구,미성동,70,158,33,56,33,50,27,19,13,22,11,15,15,15,8,13,6,4,7,X
관악구,보라매동,101,76,35,182,39,49,19,16,21,19,16,10,12,X,8,11,8,4,10,3
관악구,삼성동,57,117,29,35,18,34,30,8,X,20,5,3,6,8,20,13,5,X,3,-
관악구,서림동,69,60,26,8,17,23,27,11,16,19,6,15,11,4,3,7,8,3,4,9
관악구,서원동,143,53,34,83,108,33,24,24,42,13,27,19,8,6,X,4,8,9,10,10
관악구,성현동,17,78,33,7,12,35,15,7,5,12,X,7,6,8,6,6,6,3,3,3
관악구,소계,1840,1739,833,807,1037,869,471,409,433,363,316,309,236,162,173,183,161,100,129,134
관악구,신림동,154,26,76,68,140,51,23,32,33,20,48,32,8,5,8,6,8,9,4,13
관악구,신사동,79,76,59,28,44,65,27,32,13,29,18,20,14,14,12,15,18,6,4,6
관악구,신원동,63,39,29,24,30,34,19,19,8,10,9,6,9,3,21,15,7,X,3,5
관악구,은천동,114,113,56,22,60,50,23,21,19,23,14,19,18,22,4,10,8,6,9,3
관악구,인헌동,65,77,41,33,31,40,23,26,25,22,19,16,13,X,15,10,8,4,6,5
관악구,조원동,138,362,51,36,75,48,37,14,24,15,32,9,11,27,9,11,16,7,6,8
관악구,중앙동,84,51,45,20,52,38,17,8,19,13,6,9,10,9,X,3,4,3,6,4
관악구,청룡동,153,61,85,94,70,75,23,32,31,27,20,28,20,5,16,12,11,9,13,10
관악구,청림동,16,39,25,6,14,19,10,6,8,9,X,4,4,X,7,4,X,-,3,X
관악구,행운동,88,59,49,49,52,62,25,21,29,21,12,21,14,6,10,8,4,5,9,4
광진구,광장동,70,29,63,21,23,31,24,23,32,15,5,16,10,4,4,7,5,3,13,X
광진구,구의1동,154,72,75,33,81,49,23,30,41,22,45,24,14,4,7,7,9,7,9,7
광진구,구의2동,91,111,35,26,27,35,18,18,24,17,10,12,11,6,5,9,5,3,6,7
광진구,구의3동,145,51,64,104,50,49,36,35,40,24,17,18,14,6,X,4,11,7,16,6
광진구,군자동,104,70,44,24,74,42,21,28,39,20,22,18,15,10,5,11,10,7,11,8
광진구,능동,55,24,27,10,27,12,20,9,22,6,18,15,5,3,X,4,-,3,5,X
광진구,소계,1678,1171,777,620,876,684,355,342,491,270,345,275,167,101,118,146,144,96,141,97
광진구,자양1동,122,85,61,59,32,54,23,16,23,16,18,17,11,11,26,20,10,8,6,8
광진구,자양2동,75,119,54,16,39,49,26,17,26,23,15,13,9,6,4,5,4,4,6,6
광진구,자양3동,72,97,59,63,15,39,14,18,38,21,4,15,10,4,X,6,5,4,21,-
광진구,자양4동,165,106,51,92,68,60,24,28,34,18,46,19,17,8,23,19,53,11,8,13
광진구,중곡1동,92,59,44,25,65,38,26,16,17,10,18,14,10,15,14,16,4,6,5,3
광진구,중곡2동,96,84,57,29,39,56,20,17,17,19,22,15,3,11,6,8,4,4,5,4
광진구,중곡3동,82,80,40,19,54,44,23,16,19,16,15,12,7,8,3,6,4,4,7,5
광진구,중곡4동,82,138,37,50,38,53,29,24,25,20,14,12,8,X,6,17,6,5,8,6
광진구,화양동,273,46,66,49,244,73,28,47,94,23,76,55,23,3,12,7,14,20,15,21
구로구,가리봉동,59,40,22,15,71,30,44,6,8,10,43,10,4,8,11,5,62,X,X,11
구로구,개봉1동,117,169,41,32,46,61,38,19,23,25,18,14,14,12,3,18,12,8,12,7
구로구,개봉2동,58,121,39,20,36,51,20,15,15,22,11,5,11,8,12,10,4,4,9,6
구로구,개봉3동,54,113,29,23,35,47,14,14,15,12,8,6,12,8,5,11,4,X,4,4
구로구,고척1동,121,121,25,86,66,39,27,18,24,11,19,11,12,9,8,8,10,11,6,4
구로구,고척2동,75,146,41,45,32,54,22,18,19,19,14,12,13,16,16,11,5,3,7,X
구로구,구로1동,18,69,22,9,21,20,9,10,8,13,X,6,7,6,-,7,X,X,4,3
구로구,구로2동,269,141,90,30,98,75,85,36,41,27,32,22,15,26,9,11,55,12,7,5
구로구,구로3동,290,61,123,39,91,35,37,45,107,19,35,55,19,4,X,5,33,13,14,4
구로구,구로4동,136,93,65,90,87,65,52,37,19,19,35,14,12,4,32,15,46,6,9,7
구로구,구로5동,229,113,96,265,69,43,30,35,46,26,36,30,17,11,5,10,21,11,18,7
구로구,소계,1775,1675,767,806,756,674,474,323,416,264,295,256,184,141,125,151,282,92,135,79
구로구,수궁동,67,134,31,7,23,30,25,14,14,14,9,16,11,9,X,12,7,4,6,7
구로구,신도림동,129,71,70,110,27,39,29,20,44,16,11,21,16,10,4,7,9,6,18,4
구로구,오류1동,76,73,31,25,33,38,16,16,12,12,14,18,7,5,8,12,5,7,9,4
구로구,오류2동,77,210,42,10,21,47,26,20,21,19,8,16,14,5,9,9,7,X,11,4
금천구,가산동,446,195,176,632,94,34,63,75,146,20,29,78,21,23,7,3,49,20,23,9
금천구,독산1동,183,161,58,57,65,41,50,33,32,25,33,20,17,35,6,59,20,10,9,4
금천구,독산2동,78,110,33,19,39,51,25,11,9,15,13,8,8,10,9,12,4,5,4,6
금천구,독산3동,127,148,58,51,73,70,60,32,11,28,26,15,15,15,21,14,37,7,6,9
금천구,독산4동,76,78,23,8,50,37,24,16,14,12,22,9,14,10,3,5,9,6,X,4
금천구,소계,1338,1309,504,934,507,435,343,272,296,171,192,185,126,139,101,143,144,78,75,54
금천구,시흥1동,249,151,67,111,108,78,45,52,44,28,41,28,21,17,38,22,16,15,15,9
금천구,시흥2동,7,110,18,4,5,19,9,8,8,8,X,3,5,3,X,4,X,-,X,-
금천구,시흥3동,72,109,25,8,20,17,18,12,8,6,7,8,4,15,X,3,4,4,4,X
금천구,시흥4동,22,130,17,15,18,34,16,15,12,14,6,9,9,5,3,10,X,3,3,3
금천구,시흥5동,78,117,29,29,35,54,33,18,12,15,14,7,12,6,10,11,X,8,7,8
노원구,공릉1동,189,182,76,54,69,69,33,36,42,27,28,30,24,26,20,16,9,10,12,7
노원구,공릉2동,118,169,61,26,34,54,25,34,58,22,23,31,17,5,X,17,8,11,16,7
노원구,상계10동,9,41,13,10,3,11,9,6,8,3,4,3,3,X,-,-,X,X,X,X
노원구,상계1동,167,144,59,25,62,59,22,21,39,23,28,17,17,20,3,11,10,8,10,7
노원구,상계2동,244,68,58,284,144,84,29,35,63,22,55,20,17,17,8,19,14,15,18,8
노원구,상계3.4동,121,171,44,26,46,57,49,13,15,23,21,9,14,14,13,12,6,7,5,5
노원구,상계5동,79,96,43,36,51,52,26,20,16,13,17,10,13,13,9,8,4,7,7,7
노원구,상계6.7동,100,79,58,23,43,48,23,31,25,17,19,21,15,3,10,9,14,7,12,3
노원구,상계8동,19,38,15,19,7,18,8,9,6,9,3,4,5,X,X,3,3,-,6,X
노원구,상계9동,18,68,19,27,9,17,7,16,X,9,X,5,4,-,4,4,3,X,4,X
노원구,소계,1599,1883,685,979,631,724,386,375,441,281,271,234,231,148,92,155,123,96,154,80
노원구,월계1동,135,115,36,13,41,39,22,23,38,14,28,19,21,11,3,8,10,13,9,10
노원구,월계2동,33,135,15,7,18,27,20,20,9,17,6,10,13,X,3,10,6,X,6,X
노원구,월계3동,32,159,34,39,4,26,17,10,13,12,X,6,9,X,3,8,X,-,6,X
노원구,중계1동,25,50,35,16,7,34,13,27,20,17,5,10,7,6,X,5,6,-,11,X
노원구,중계2.3동,56,123,21,230,12,32,23,19,23,11,X,6,14,X,X,7,10,-,12,X
노원구,중계4동,111,71,24,43,35,24,15,20,16,7,20,7,13,5,4,6,4,9,9,6
노원구,중계본동,58,68,36,22,24,35,19,17,28,16,7,11,13,6,3,7,6,4,4,6
노원구,하계1동,71,52,23,79,21,21,18,13,19,12,X,14,8,16,X,4,7,X,5,X
노원구,하계2동,14,54,15,-,X,17,8,5,X,7,-,X,4,-,X,X,-,-,X,X
도봉구,도봉1동,205,99,48,25,47,40,35,14,20,14,27,19,12,10,10,10,10,10,3,3
도봉구,도봉2동,98,119,37,19,47,38,18,10,18,14,8,7,6,10,7,7,6,X,6,X
도봉구,방학1동,200,140,72,88,118,69,37,35,24,23,43,22,17,19,6,10,14,16,15,12
도봉구,방학2동,70,88,22,28,24,51,24,15,6,13,10,9,9,8,21,14,7,6,5,X
도봉구,방학3동,39,104,21,8,6,19,16,9,9,14,4,7,8,6,X,4,X,4,4,-
도봉구,소계,1118,1715,492,422,481,536,301,226,204,207,177,168,129,121,90,119,79,68,88,53
도봉구,쌍문1동,29,90,17,10,18,33,22,23,21,13,3,11,7,4,6,11,5,3,5,3
도봉구,쌍문2동,69,99,32,41,25,44,21,18,15,15,14,11,9,7,4,5,4,4,7,7
도봉구,쌍문3동,52,53,32,38,27,31,22,13,11,15,7,12,8,8,8,12,5,3,5,X
도봉구,쌍문4동,13,66,17,21,4,26,11,12,8,11,X,6,7,X,X,6,X,-,X,X
도봉구,창1동,55,389,44,26,26,34,19,15,15,18,13,11,5,9,4,6,3,X,4,4
도봉구,창2동,60,155,45,41,31,52,24,13,7,22,7,15,14,10,7,11,5,4,4,8
도봉구,창3동,71,86,26,25,38,32,14,12,10,13,12,10,7,13,8,11,3,3,7,X
도봉구,창4동,68,69,34,20,39,23,21,19,14,11,12,17,8,3,3,3,5,6,14,4
도봉구,창5동,89,158,45,32,31,44,17,18,26,11,16,11,12,12,3,9,9,6,8,4
동대문구,답십리1동,115,91,65,37,38,30,25,14,25,14,17,18,4,11,X,3,3,6,5,X
동대문구,답십리2동,86,131,40,24,34,40,27,15,10,16,12,12,9,25,11,13,6,3,5,5
