자치구,동,주택 수 합계,단독주택,다가구주택,영업겸용,아파트,연립주택,다세대주택,비거주용건물내주택
서대문구,소계,92885,4066,9824,1678,45340,5762,25250,965
서대문구,신촌동,5158,209,750,201,1509,246,2077,166
서대문구,연희동,11121,521,1911,266,3062,1292,3917,152
서대문구,천연동,6150,220,338,67,5106,113,275,31
서대문구,충현동,4928,737,730,126,1467,535,1279,54
서대문구,홍은1동,6764,787,827,136,3832,326,802,54
서대문구,홍은2동,8918,239,870,93,2448,918,4280,70
서대문구,홍제1동,7238,233,582,92,3802,639,1822,68
서대문구,홍제2동,4823,63,213,37,4050,77,364,19
서대문구,홍제3동,5464,450,734,138,2561,237,1276,68
서초구,내곡동,5478,269,305,37,4732,16,103,16
서초구,반포1동,8079,17,403,72,5437,305,1771,74
서초구,반포2동,5704,X,X,X,5703,X,X,X
서초구,반포3동,6341,X,X,5,6335,X,X,X
서초구,반포4동,6036,31,84,23,3834,977,1024,63
서초구,반포본동,3664,X,X,X,3662,X,X,X
서초구,방배1동,4696,50,377,57,1767,249,2115,81
서초구,방배2동,6201,115,1137,148,2151,357,2219,74
서초구,방배3동,6707,57,251,33,4481,307,1546,32
서초구,방배4동,7299,116,445,168,3552,314,2563,141
서초구,방배본동,5346,41,215,75,3488,162,1297,68
서초구,서초1동,6277,151,268,67,4425,296,972,98
서초구,서초2동,6422,7,81,19,5896,85,278,56
서초구,서초3동,8447,47,247,77,5251,761,1930,134
서초구,서초4동,8280,X,15,6,8133,45,71,8
서초구,소계,125403,1090,4609,1074,90084,5722,21474,1350
서초구,양재1동,14074,159,325,101,10772,871,1712,134
서초구,양재2동,5832,12,283,121,909,854,3381,272
서초구,잠원동,10520,16,172,64,9556,123,492,97
성동구,금호1가동,5643,38,30,29,4672,X,847,27
성동구,금호2.3가동,6023,296,545,88,3610,129,1286,69
성동구,금호4가동,5712,148,244,56,4849,101,275,39
성동구,마장동,6282,548,482,232,4111,230,526,153
성동구,사근동,2813,174,545,95,974,55,906,64
성동구,성수1가1동,4244,148,417,86,2625,325,545,98
성동구,성수1가2동,3817,143,570,145,2345,200,312,102
성동구,성수2가1동,4248,122,773,197,1912,593,533,118
성동구,성수2가3동,2698,69,185,99,1912,57,292,84
성동구,소계,82331,2414,7134,1702,59331,2076,8610,1064
성동구,송정동,2096,122,769,77,765,86,254,23
성동구,옥수동,7940,21,77,43,7507,119,138,35
성동구,왕십리2동,4039,86,474,85,3195,9,157,33
성동구,왕십리도선동,7085,144,269,160,6050,75,295,92
성동구,용답동,2320,115,1183,198,456,39,268,61
성동구,응봉동,5318,38,96,16,3868,42,1251,7
성동구,행당1동,3608,190,368,78,2346,X,572,54
성동구,행당2동,8445,12,107,18,8134,16,153,5
성북구,길음1동,11978,225,54,17,11470,59,128,25
성북구,길음2동,4840,607,277,94,2810,190,820,42
성북구,돈암1동,5763,101,50,21,5341,80,162,8
성북구,돈암2동,7473,48,15,X,7162,20,221,5
성북구,동선동,4118,472,531,220,1078,369,1309,139
성북구,보문동,3421,517,542,154,1305,42,765,96
성북구,삼선동,6599,982,899,279,2742,285,1285,127
성북구,석관동,9032,1267,1432,383,3739,100,1985,126
성북구,성북동,5274,1850,469,155,606,770,1352,72
성북구,소계,128046,12933,11311,2936,69725,6518,23097,1526
성북구,안암동,3818,442,664,162,1177,214,1019,140
성북구,월곡1동,7875,376,560,155,6137,93,508,46
성북구,월곡2동,5390,438,683,131,3379,172,489,98
성북구,장위1동,5624,825,1146,172,90,518,2759,114
성북구,장위2동,4299,665,1301,261,220,288,1448,116
성북구,장위3동,4127,1007,780,178,1306,225,563,68
성북구,정릉1동,5510,275,313,102,4136,72,568,44
성북구,정릉2동,7537,667,328,86,3157,688,2571,40
성북구,정릉3동,4895,1219,285,96,672,1086,1481,56
성북구,정릉4동,8810,358,189,77,5168,877,2093,48
성북구,종암동,11663,592,793,191,8030,370,1571,116
송파구,가락1동,206,X,X,X,206,X,X,X
송파구,가락2동,9911,X,190,107,6368,188,2948,107
송파구,가락본동,7829,X,205,155,4976,243,2109,139
송파구,거여1동,3613,180,331,90,1750,173,1041,48
송파구,거여2동,7663,676,451,93,5298,219,848,78
송파구,마천1동,5080,157,697,154,2178,129,1701,64
송파구,마천2동,4927,211,628,141,1165,479,2208,95
송파구,문정1동,6080,X,164,99,3181,197,2349,90
송파구,문정2동,4496,X,X,X,4494,X,X,X
송파구,방이1동,4377,X,106,48,2134,305,1684,100
송파구,방이2동,7310,8,308,101,1024,634,5133,102
송파구,삼전동,10308,X,459,111,364,316,8946,112
송파구,석촌동,10671,X,478,144,1030,386,8449,181
송파구,소계,187030,1346,6959,1926,111685,5040,58287,1787
송파구,송파1동,8147,5,375,113,1267,405,5869,113
송파구,송파2동,6055,X,121,34,4548,155,1165,31
송파구,오금동,10017,X,288,125,5315,483,3632,170
송파구,오륜동,5542,X,X,X,5540,X,X,X
송파구,위례동,3898,X,X,X,3898,X,X,X
송파구,잠실2동,11241,X,X,X,11241,X,X,X
송파구,잠실3동,11050,X,X,X,11050,X,X,X
송파구,잠실4동,9722,X,X,X,9721,X,X,X
송파구,잠실6동,5390,X,X,X,5390,X,X,X
송파구,잠실7동,3198,X,X,X,3198,X,X,X
송파구,잠실본동,8427,9,556,120,1116,124,6336,166
송파구,장지동,11119,X,216,85,8253,220,2269,73
송파구,풍납1동,3482,60,926,98,1596,206,541,55
송파구,풍납2동,7271,22,460,106,5384,178,1059,62
양천구,목1동,7769,17,74,36,7370,42,197,33
양천구,목2동,9200,79,460,123,2551,514,5398,75
양천구,목3동,5918,94,455,125,1827,141,3227,49
양천구,목4동,6990,45,492,161,2817,300,3096,79
양천구,목5동,12391,X,X,X,12390,X,X,X
양천구,소계,134097,1438,6532,1937,83827,4459,34948,956
양천구,신월1동,5652,104,857,218,1261,443,2662,107
양천구,신월2동,7244,12,213,80,3790,933,2161,55
양천구,신월3동,3972,141,866,156,820,180,1765,44
양천구,신월4동,5942,16,108,70,3415,473,1836,24
양천구,신월5동,4259,41,350,122,1411,420,1876,39
양천구,신월6동,3716,468,189,173,1477,236,1106,67
양천구,신월7동,8467,X,15,41,3371,107,4864,66
양천구,신정1동,4901,19,172,109,4331,6,224,40
양천구,신정2동,6029,46,201,88,5197,79,347,71
양천구,신정3동,15236,242,999,137,12579,73,1146,60
양천구,신정4동,8784,78,1045,288,1814,512,4926,121
양천구,신정6동,7214,X,X,X,7214,X,X,X
양천구,신정7동,10413,33,36,10,10192,X,117,25
