자치구,동,계,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인이상 가구,2인이상 가구,1인가구 비율
용산구,이태원2동,"4,058","1,599","1,139",687,469,120,32,12,"2,459",0.3940
용산구,청파동,"9,567","4,393","2,144","1,512","1,109",319,69,21,"5,174",0.4592
용산구,한강로동,"6,194","2,377","1,842","1,112",664,159,33,7,"3,817",0.3838
용산구,한남동,"9,089","3,843","2,505","1,534",867,261,56,23,"5,246",0.4228
용산구,효창동,"3,430",804,946,784,640,187,49,20,"2,626",0.2344
용산구,후암동,"7,184","2,411","1,850","1,420","1,122",306,56,19,"4,773",0.3356
은평구,갈현1동,"9,527","2,438","2,701","2,195","1,674",406,80,33,"7,089",0.2559
은평구,갈현2동,"10,620","2,322","2,888","2,580","2,104",555,134,37,"8,298",0.2186
은평구,구산동,"10,861","1,845","2,906","2,830","2,419",633,175,53,"9,016",0.1699
은평구,녹번동,"12,221","3,580","3,398","2,603","2,002",518,94,26,"8,641",0.2929
은평구,대조동,"13,457","4,677","3,717","2,555","1,893",468,119,28,"8,780",0.3476
은평구,불광1동,"15,457","3,669","4,328","3,771","2,835",663,159,32,"11,788",0.2374
은평구,불광2동,"11,294","3,318","3,244","2,389","1,769",453,94,27,"7,976",0.2938
은평구,소계,"179,752","43,936","48,337","41,330","34,509","8,975","2,087",578,"135,816",0.2444
은평구,수색동,"6,295","1,600","1,778","1,403","1,124",294,81,15,"4,695",0.2542
은평구,신사1동,"9,945","2,089","2,624","2,558","1,994",514,122,44,"7,856",0.2101
은평구,신사2동,"7,786","1,689","2,125","1,860","1,610",384,96,22,"6,097",0.2169
은평구,역촌동,"17,573","3,930","4,801","4,197","3,482",900,202,61,"13,643",0.2236
은평구,응암1동,"12,220","3,527","3,278","2,615","2,113",529,129,29,"8,693",0.2886
은평구,응암2동,"8,505","2,038","2,282","2,025","1,628",406,95,31,"6,467",0.2396
은평구,응암3동,"10,747","3,538","2,889","2,164","1,635",401,97,23,"7,209",0.3292
은평구,증산동,"6,985","1,479","1,923","1,650","1,468",362,78,25,"5,506",0.2117
은평구,진관동,"16,259","2,197","3,455","3,935","4,759","1,489",332,92,"14,062",0.1351
종로구,가회동,"1,843",590,507,371,261,90,18,6,"1,253",0.3201
종로구,교남동,"1,888",653,523,339,288,66,15,X,"1,231",0.3459
종로구,무악동,"2,823",508,698,734,692,153,29,9,"2,315",0.1800
종로구,부암동,"3,841",995,"1,082",836,660,190,53,25,"2,846",0.2590
종로구,사직동,"3,562","1,125","1,006",731,500,145,40,15,"2,437",0.3158
종로구,삼청동,"1,092",363,296,214,151,45,14,9,729,0.3324
